date,population,admission,release
2022-11-21,117861.45515684068,1484.6084875510503,2687.436530068546
2022-11-22,117144.46044765651,1971.4418208843833,2548.436530068546
2022-11-23,116837.46573847234,2240.441820884383,2383.436530068546
2022-11-24,116399.47102928816,1945.4418208843833,880.1031967352119
2022-11-25,116823.47632010402,1305.1084875510505,1215.103196735212
2022-11-26,117255.48161091983,1645.6084875510503,998.1031967352119
2022-11-27,117902.9869017357,1645.6084875510503,1025.103196735212
2022-11-28,118326.49219255154,1441.5529319954949,2752.298709555725
2022-11-29,117865.8233380682,2284.6256592682216,2625.092493549508
2022-11-30,117573.27064520105,2332.539800682363,2777.092493549508
2022-12-01,117206.71795233393,2410.539800682363,2908.4258268828416
2022-12-02,116873.9985928001,2575.70646734903,2848.6758268828416
2022-12-03,116802.02923326628,2776.70646734903,1174.6758268828419
2022-12-04,117420.55987373249,1793.2064673490302,1178.5091602161754
2022-12-05,117806.75718086533,1564.7064673490302,3030.509160216175
2022-12-06,117185.95448799817,2409.70646734903,2665.259160216175
2022-12-07,116954.40179513104,2433.70646734903,2731.225826882842
2022-12-08,116797.78243559721,2574.60646734903,3407.7258268828423
2022-12-09,116767.16307606341,3377.10646734903,2643.225826882842
2022-12-10,116995.0437165296,2872.10646734903,1178.2258268828418
2022-12-11,117682.92435699579,1865.1833904259533,1258.575444090279
2022-12-12,117994.4435319133,1574.0756616618264,3116.756486744308
2022-12-13,117394.36270683084,2517.675661661826,3019.7564867443075
2022-12-14,116958.28188174833,2581.175661661826,3046.7564867443075
2022-12-15,116383.20105666589,2471.675661661826,2868.747714814483
2022-12-16,116084.45356491671,2572.8423283284924,2654.089820077641
2022-12-17,116049.70607316759,2619.342328328493,1252.589820077641
2022-12-18,116586.45858141841,1789.3423283284928,1282.7564867443075
2022-12-19,116761.62775633595,1457.9256616618263,3198.9231534109745
2022-12-20,115877.63026458678,2315.4256616618263,3023.3233184274754
2022-12-21,115086.09915072545,2232.7872540710673,3014.7005668853058
2022-12-22,114389.68322011018,2333.206102238606,2755.9553661872255
2022-12-23,113504.68395616153,1870.9561022386065,1562.9553661872255
2022-12-24,113308.68469221292,1366.9561022386067,921.7886995205591
2022-12-25,113528.18542826429,1141.2894355719397,650.7886995205591
2022-12-26,113827.68616431567,950.2894355719399,855.6886995205592
2022-12-27,114341.68690036706,1369.6894355719398,2184.554641549544
2022-12-28,114240.68401323004,2088.5336384704906,2265.536525607515
2022-12-29,114278.18112609298,2303.03363847049,2172.536525607515
2022-12-30,114575.678238956,2470.03363847049,1980.5365256075154
2022-12-31,114974.67535181895,2379.53363847049,1068.8031922741825
2023-01-01,116085.00579801528,2179.1336384704905,1304.3031922741823
2023-01-02,116554.83624421159,1774.1336384704907,1290.3031922741823
2023-01-03,117067.16669040787,1799.7915332073328,2362.4769220066883
2023-01-04,116258.95028193352,1986.7664290464754,1523.3075726064944
2023-01-05,115834.67994622575,1440.7363186201783,1047.419113254578
2023-01-06,115673.72177736722,1049.078368638433,1044.0365374970027
2023-01-07,115678.76360850863,1049.078368638433,1044.0365374970027
2023-01-08,115683.80543965007,1049.078368638433,1044.0365374970027
2023-01-09,115688.84727079148,1049.078368638433,1044.0365374970027
2023-01-10,115693.88910193292,1049.078368638433,1044.0365374970027
2023-01-11,115698.93093307433,1049.078368638433,1044.0365374970027
2023-01-12,115703.9727642158,1049.078368638433,1044.0365374970027
2023-01-13,115709.01459535722,1049.078368638433,1044.0365374970027
